"","ForeName","Middle1","Middle2","LastName","Order","PMID","DOI","Journal"
"2291","Shayne","F","","Andrew",6,"34921774","10.1016/j.cell.2021.12.002","Cell"
"2292","Shee-Mei","","","Lok",10,"34852238","10.1016/j.cell.2021.11.009","Cell"
"2293","Sheila","A","","Kitchen",5,"34890552","10.1016/j.cell.2021.11.014","Cell"
"2294","Shelley","L","","Berger",5,"34739833","10.1016/j.cell.2021.10.006","Cell"
"2295","Shelley","L","","Berger",29,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2296","Shen","","","Li",8,"34903870","10.1038/s41596-021-00634-x","Nature protocols"
"2297","Shengdar","Q","","Tsai",13,"34773119","10.1038/s41596-021-00626-x","Nature protocols"
"2298","Shengjie","","","Zhang",10,"34487377","10.15252/embj.2021108065","The EMBO journal"
"2299","Shengjin","","","Xu",5,"34875226","10.1016/j.cell.2021.11.024","Cell"
"2300","Shibai","","","Li",2,"34726281","10.15252/embj.2021108684","The EMBO journal"
"2301","Shihao","","","Zhang",5,"34678143","10.1016/j.cell.2021.10.001","Cell"
"2302","Shihui","","","Niu",1,"34965378","10.1016/j.cell.2021.12.006","Cell"
"2303","Shimi","","","Meleppattu",9,"34715025","10.1016/j.cell.2021.10.007","Cell"
"2304","Shintaro","","","Iwasaki",5,"34672004","10.15252/embj.2021108299","The EMBO journal"
"2305","Shiro","","","Ikegawa",58,"34822786","10.1016/j.cell.2021.11.003","Cell"
"2306","Shoko","","","Sato",5,"34730297","10.15252/msb.202110323","Molecular systems biology"
"2307","Shona","C","","Moore",10,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2308","Shoukat","","","Dedhar",11,"34654908","10.1038/s41580-021-00428-9","Nature reviews. Molecular cell biology"
"2309","Shu","","","Zhu",13,"34678144","10.1016/j.cell.2021.09.032","Cell"
"2310","Shu-Qiang","","","Liu",36,"34767776","10.1016/j.cell.2021.10.023","Cell"
"2311","Shuai","","","He",27,"34767776","10.1016/j.cell.2021.10.023","Cell"
"2312","Shuang","","","Zheng",3,"34644527","10.1016/j.cell.2021.09.030","Cell"
