FirstName,LastName,Order,PMID,Journal,CitationCount,Gender,Date.Received,Date.Published,Field
Alberto,Farina  ,1,1303.1265v1,American Journal of Mathematics,24,M,22-Mar-13,1-Apr-14,Mathematics
Nicola,Soave  ,2,1303.1265v1,American Journal of Mathematics,24,M,22-Mar-13,1-Apr-14,Mathematics
Pablo,Guarino  ,1,1303.3470v1,American Journal of Mathematics,25,M,,27-Apr-17,Mathematics
Welington,de Melo ,2,1303.3470v1,American Journal of Mathematics,25,M,,27-Apr-17,Mathematics
Justin,Holmer  ,2,1303.5385v3,American Journal of Mathematics,49,M,18-Dec-12,25-Apr-16,Mathematics
Xuwen,Chen  ,1,1303.5385v3,American Journal of Mathematics,49,M,18-Dec-12,25-Apr-16,Mathematics
Yuliang,Shen  ,1,1304.3197v6,American Journal of Mathematics,9,M,10-Apr-20,14-Aug-20,Mathematics
Alexei,Borodin  ,1,1305.3627v4,American Journal of Mathematics,79,M,1-Jun-13,10-Oct-14,Mathematics
Vadim,Gorin  ,2,1305.3627v4,American Journal of Mathematics,79,M,1-Jun-13,10-Oct-14,Mathematics
Walter,Strauss  ,2,1305.5219v1,American Journal of Mathematics,11,M,22-May-13,19-Sep-13,Mathematics
Xuwen,Chen  ,1,1305.5219v1,American Journal of Mathematics,11,M,22-May-13,19-Sep-13,Mathematics
Pere,Menal-Ferrer  ,3,1305.7064v1,American Journal of Mathematics,1,M,24-Oct-08,1-Apr-11,Mathematics
Artur,Nicolau  ,2,1305.7064v1,American Journal of Mathematics,1,M,24-Oct-08,1-Apr-11,Mathematics
Nacho,Monreal Galán ,1,1305.7064v1,American Journal of Mathematics,1,M,24-Oct-08,1-Apr-11,Mathematics
Miloš,Ziman  ,2,1305.7213v1,Acta Mathematica,7,M,,30-May-13,Mathematics
Martin,Sleziak  ,1,1305.7213v1,Acta Mathematica,7,M,,30-May-13,Mathematics
Misha,Verbitsky  ,1,1306.1498v2,Acta Mathematica,44,M,8-Jun-14,1-Apr-14,Mathematics
Christian,Sadel  ,3,1306.1605v2,American Journal of Mathematics,47,M,17-Aug-13,22-Oct-14,Mathematics
Svetlana,Jitomirskaya  ,2,1306.1605v2,American Journal of Mathematics,47,F,17-Aug-13,22-Oct-14,Mathematics
Artur,Avila  ,1,1306.1605v2,American Journal of Mathematics,47,M,17-Aug-13,22-Oct-14,Mathematics
Luis,Silvestre  ,2,1306.2429v3,American Journal of Mathematics,48,M,17-Jun-13,25-Apr-16,Mathematics
Cyril,Imbert  ,1,1306.2429v3,American Journal of Mathematics,48,M,17-Jun-13,25-Apr-16,Mathematics
Manjunath,Krishnapur  ,1,1306.4832v1,American Journal of Mathematics,55,M,1-Nov-13,30-Apr-15,Mathematics
Brian,Rider  ,2,1306.4832v1,American Journal of Mathematics,55,M,1-Nov-13,30-Apr-15,Mathematics
Balint,Virag  ,3,1306.4832v1,American Journal of Mathematics,55,M,1-Nov-13,30-Apr-15,Mathematics
Zhijian,Qiu  ,1,1307.0424v1,Acta Mathematica,2,M,13-Feb-07,15-Oct-09,Mathematics
Ivo,M. Michailov ,1,1307.0738v3,Acta Mathematica,4,M,25-Nov-13,8-Apr-16,Mathematics
Simone,Cifani  ,2,1307.1218v4,American Journal of Mathematics,20,M,3-Jul-13,12-Apr-14,Mathematics
Nathael,Alibaud  ,1,1307.1218v4,American Journal of Mathematics,20,M,3-Jul-13,12-Apr-14,Mathematics
Espen,Jakobsen  ,3,1307.1218v4,American Journal of Mathematics,20,M,3-Jul-13,12-Apr-14,Mathematics
Mohammad,El Smaily ,1,1307.4106v2,American Journal of Mathematics,3,M,23-Jul-13,19-Mar-14,Mathematics
Stéphane,Kirsch  ,2,1307.4106v2,American Journal of Mathematics,3,M,23-Jul-13,19-Mar-14,Mathematics
Tobias,Finis  ,1,1308.3604v4,American Journal of Mathematics,14,M,,19-Mar-18,Mathematics
Erez,Lapid  ,2,1308.3604v4,American Journal of Mathematics,14,M,,19-Mar-18,Mathematics
Justin,Holmer  ,2,1308.3895v2,American Journal of Mathematics,58,M,18-Sep-14,25-Feb-16,Mathematics
Xuwen,Chen  ,1,1308.3895v2,American Journal of Mathematics,58,M,18-Sep-14,25-Feb-16,Mathematics
Gennady,Lyubeznik  ,1,1308.4182v5,American Journal of Mathematics,24,M,7-Nov-13,12-Oct-16,Mathematics
Anurag,K. Singh ,2,1308.4182v5,American Journal of Mathematics,24,M,7-Nov-13,12-Oct-16,Mathematics
